registro_id,data,ano,mes,dia,segmento,empresa,cidade,numero_clientes,ticket_medio,receita,custo,lucro,indice_satisfacao,taxa_ocupacao,taxa_crescimento,custo_marketing,investimento_publicidade,previsao_vendas,previsao_custos,sensibilidade_negocios,indice_correcao,programacao_linear,regiao,estado,pais,tipo_cliente,canal_venda,categoria_produto,tipo_servico,plano,faixa_etaria,genero,fonte_trafego,dispositivo,sistema_operacional,navegador,quantidade_produtos,custo_por_cliente,receita_por_cliente,lucro_por_cliente,desconto_medio,percentual_desconto,taxa_conversao,vendas_por_vendedor,comissao_vendas,valor_impostos,frete_medio,pedidos_por_cliente,LTV,CAC,MRR,ARR,receita_media_diaria,custo_por_clique,custo_por_mil_impressoes,taxa_de_clique,impressoes,cliques,leads_gerados,custo_por_lead,ROAS,avaliacao_media,numero_avaliacoes,NPS,CSAT,reclamacoes,tempo_medio_resposta,tempo_medio_entrega,taxa_devolucao,nivel_estoque,giro_estoque,custo_estoque,numero_fornecedores,taxa_de_defeito,usuarios_ativos,tempo_medio_sessao,taxa_retencao,churn_rate,funcionalidade_mais_usada,numero_sessoes,RevPAR,taxa_evasao,tempo_medio_atendimento,despesa_administrativa,despesa_com_pessoal,despesa_fixa,despesa_variavel,despesa_tributaria,despesa_financeira
2301,2022-01-02,2022,1,2,Varejo,Peixoto,Nunes,1,54.22,54.22,47.66,6.56,6.7,,31.49,5.39,3840.24,58.88,52.42,28.14,0.979,1367.3,Maranhão,MA,Brasil,B2C,Aplicativo,Livros,,,46-55,Feminino,Busca orgânica,Mobile,Android,Outro,35,47.66,54.22,6.56,146.72,73.02,3.88,7,1.0,14.5,0.0,2.49,89.77,67.78,0.0,0.0,1.81,34.05,73.76,22.42,42167,9453,423,0.01,0.01,1.7,55,86,4,48,61.92,11.82,62.58,49,0.88,532.95,10,4.14,0,267.74,92.04,30.05,,466,,,,17709.57,69478.51,34171.61,16307.0,6.57,3025.31
2427,2022-01-02,2022,1,2,TI,Vasconcelos,Costa,1,28.71,28.71,22.32,6.39,7.6,,16.43,1.45,4551.89,31.96,22.95,23.87,0.951,2984.81,Rio Grande do Sul,RJ,Brasil,Pessoa Física,Representante,,Suporte,Básico,26-35,Outro,Anúncio pago,Tablet,macOS,Chrome,0,22.32,28.71,6.39,64.56,69.22,10.74,0,0.0,6.47,0.0,2.83,21.17,51.96,26.26,315.12,0.96,31.61,47.59,20.96,38280,8023,310,0.0,0.01,5.0,66,90,5,45,98.15,6.68,61.17,0,0.0,0.0,8,7.17,121,340.9,27.41,31.94,FuncA,508,,,,15321.74,88390.82,25109.69,6628.09,2.36,1728.14
2458,2022-01-02,2022,1,2,TI,Mendonça,Teixeira,1,31.99,31.99,25.48,6.51,8.2,,-7.88,1.94,10574.33,35.53,25.74,74.61,0.996,2645.7,Acre,CE,Brasil,Pessoa Física,Aplicativo,,Outros,Gratuito,18-25,Feminino,Direto,Desktop,Linux,Safari,0,25.48,31.99,6.51,104.94,76.64,13.83,0,0.0,8.6,0.0,4.74,6.5,51.66,27.39,328.68,1.07,26.52,39.53,20.96,36842,7722,317,0.01,0.0,3.7,156,70,4,43,89.6,6.75,70.24,0,0.0,0.0,8,7.57,30,411.71,12.88,32.64,FuncC,496,,,,12472.56,93280.6,21931.84,3059.51,3.2,1024.76
2828,2022-01-02,2022,1,2,TI,Machado,Martins Paulista,1,29.69,29.69,25.64,4.05,6.1,,82.26,3.79,23938.07,33.03,26.13,80.53,0.956,363.88,Minas Gerais,AP,Brasil,Pessoa Física,Online,,Consultoria,Básico,18-25,Outro,Rede social,Tablet,Android,Safari,0,25.64,29.69,4.05,65.33,68.75,3.52,0,0.0,3.05,0.0,8.65,31.61,85.05,28.25,339.0,0.99,24.56,9.01,12.46,46791,5830,451,0.01,0.0,4.1,96,16,3,46,83.73,10.83,58.34,0,0.0,0.0,5,0.8,70,448.04,53.0,56.66,Outra,604,,,,12258.81,179086.89,20521.44,18846.75,3.21,1211.75
2925,2022-01-02,2022,1,2,Varejo,Macedo Ltda.,Freitas Verde,1,31.11,31.11,26.85,4.26,5.7,,28.86,2.08,25239.29,34.46,28.5,50.63,1.019,2350.55,Rio de Janeiro,ES,Brasil,Pessoa Física,Representante,Móveis,,,18-25,Outro,Busca orgânica,Tablet,iOS,Edge,39,26.85,31.11,4.26,41.46,57.13,6.91,4,0.34,4.51,3.2,14.24,108.8,114.24,0.0,0.0,1.04,22.92,22.99,12.71,49766,6325,374,0.01,0.0,4.6,100,-62,1,42,66.93,22.98,72.97,184,2.59,2442.33,13,0.23,0,464.64,37.31,46.33,,641,,,,7128.04,169823.0,17704.77,21173.61,4.54,2101.65
2965,2022-01-02,2022,1,2,TI,Ramos Albuquerque S.A.,Pinto,1,25.0,25.0,19.65,5.35,8.8,,61.26,3.67,46769.21,28.38,19.7,77.04,0.982,2551.94,Mato Grosso,PE,Brasil,B2C,Online,,Treinamento,Gratuito,18-25,Feminino,Email,Mobile,Android,Firefox,0,19.65,25.0,5.35,23.11,48.04,14.22,0,0.0,3.6,0.0,14.72,32.11,76.96,26.3,315.6,0.83,21.53,25.07,10.76,53279,5732,431,0.01,0.0,1.6,95,-57,4,41,68.59,23.18,74.4,0,0.0,0.0,12,0.59,111,486.08,1.07,51.04,Outra,624,,,,4894.44,162933.5,16351.48,16863.18,1.54,1601.97
521,2022-01-03,2022,1,3,Varejo,Garcia Vargas e Filhos,Pires de Goiás,1,48.88,48.88,45.37,3.51,8.2,,-5.4,9.44,1350.87,52.09,48.14,86.8,0.999,1965.58,Bahia,RN,Brasil,B2C,Online,Móveis,,,36-45,Outro,Rede social,Mobile,macOS,Safari,42,45.37,48.88,3.51,18.86,27.84,2.97,7,1.06,7.25,0.0,1.29,4.38,213.7,0.0,0.0,1.63,0.01,15.18,3.84,2593,99,156,0.06,0.04,1.7,163,-60,3,23,18.98,4.2,10.21,137,1.76,2539.5,8,4.11,0,108.27,49.14,29.64,,83,,,,6781.05,306.32,11322.21,27071.11,5.21,822.7
864,2022-01-03,2022,1,3,TI,Cirino Cardoso Ltda.,Lopes,1,42.72,42.72,38.1,4.62,7.8,,6.16,7.93,15607.62,45.06,38.72,34.48,1.013,1444.94,Paraíba,RR,Brasil,B2B,Aplicativo,,Suporte,Básico,36-45,Masculino,Anúncio pago,Desktop,iOS,Safari,0,38.1,42.72,4.62,15.34,26.42,23.2,0,0.0,5.43,0.0,8.58,11369.81,167.53,43.05,516.6,1.42,7.78,8.44,14.73,4772,702,23,0.34,0.0,1.8,233,-56,5,17,11.97,0.28,12.31,0,0.0,0.0,24,4.61,17,73.63,69.35,18.65,Outra,165,,,,9313.23,0.0,15363.78,37976.0,4.7,566.57
1370,2022-01-03,2022,1,3,TI,Costa,Marques,1,33.01,33.01,20.38,12.63,8.9,,3.38,4.56,27504.81,35.72,20.4,13.25,0.94,647.09,Rio Grande do Norte,RO,Brasil,Pessoa Jurídica,Aplicativo,,Consultoria,Básico,55+,Masculino,Anúncio pago,Tablet,iOS,Safari,0,20.38,33.01,12.63,51.23,60.81,26.73,0,0.0,7.53,0.0,12.35,152855.53,223.82,28.86,346.32,1.1,16.55,29.68,9.79,15487,1516,241,0.02,0.0,1.2,1,4,1,41,24.81,4.61,65.44,0,0.0,0.0,37,1.31,171,109.54,0.51,5.64,FuncB,153,,,,10163.54,19734.52,31089.85,21701.18,2.73,372.89
1942,2022-01-03,2022,1,3,TI,Moreira - EI,Cardoso de Minas,1,49.44,49.44,44.97,4.47,8.7,,41.25,4.83,28851.25,52.74,47.43,26.66,0.965,148.32,Maranhão,ES,Brasil,Pessoa Física,Telefone,,Suporte,Gratuito,26-35,Outro,Referência,Desktop,Linux,Edge,0,44.97,49.44,4.47,213.55,81.2,1.72,0,0.0,10.85,0.0,7.8,937.14,93.08,45.84,550.08,1.65,36.81,60.24,21.24,28901,6138,431,0.01,0.0,2.5,69,-99,3,67,63.43,1.28,86.99,0,0.0,0.0,26,4.98,100,194.63,61.68,17.02,FuncB,323,,,,12426.19,63310.54,45244.97,21875.38,7.25,2341.92
1955,2022-01-03,2022,1,3,Varejo,Marques,Sousa da Mata,1,51.59,51.59,42.46,9.13,5.9,,33.96,10.1,25170.6,58.62,44.72,43.7,0.934,35.39,Mato Grosso,SE,Brasil,Pessoa Física,Aplicativo,Móveis,,,36-45,Feminino,Anúncio pago,Desktop,macOS,Firefox,22,42.46,51.59,9.13,196.19,79.18,1.03,2,1.4,11.36,3.69,7.0,534.93,45.21,0.0,0.0,1.72,35.4,59.85,21.0,27422,5758,408,0.02,0.0,1.0,94,-57,2,66,63.04,1.91,83.89,11,3.0,76.21,22,2.96,0,224.16,55.93,18.95,,337,,,,12578.82,56996.08,47440.88,21463.8,5.6,2748.22
348,2022-01-04,2022,1,4,TI,da Luz,Gonçalves,1,35.63,35.63,33.8,1.83,7.5,,-3.54,5.49,13402.8,40.78,35.04,80.51,1.04,3550.47,Paraíba,GO,Brasil,B2C,Online,,Treinamento,Básico,55+,Masculino,Busca orgânica,Desktop,iOS,Safari,0,33.8,35.63,1.83,19.13,34.93,3.49,0,0.0,6.98,0.0,3.13,0.65,164.73,29.22,350.64,1.19,2.21,1.46,2.19,9713,212,143,0.04,0.0,3.5,246,40,2,12,18.85,10.27,0.53,0,0.0,0.0,7,5.47,536,133.1,11.01,10.88,FuncB,70,,,,2666.59,8853.69,12895.79,15799.16,4.02,610.24
1411,2022-01-04,2022,1,4,TI,Silva Ltda.,Vargas de Alves,1,32.22,32.22,27.55,4.67,6.6,,8.37,4.2,32598.84,34.73,30.2,8.97,1.034,1622.55,Rio de Janeiro,RO,Brasil,B2B,Online,,Consultoria,Básico,18-25,Feminino,Busca orgânica,Tablet,Linux,Outro,0,27.55,32.22,4.67,75.41,70.06,28.59,0,0.0,8.81,0.0,8.85,52838.2,157.15,31.89,382.68,1.07,15.78,24.58,8.31,9103,756,234,0.02,0.0,2.1,112,68,2,37,29.35,3.64,59.75,0,0.0,0.0,42,2.61,155,41.72,11.5,14.74,FuncB,149,,,,12629.76,32750.43,35528.45,25699.19,4.13,48.06
1515,2022-01-04,2022,1,4,Varejo,Aragão Leão e Filhos,Duarte de Câmara,1,30.7,30.7,28.19,2.51,4.5,,57.15,3.87,31105.79,33.35,29.85,9.07,1.006,1109.56,Rio Grande do Sul,AP,Brasil,B2C,Representante,Eletrônicos,,,46-55,Outro,Referência,Tablet,macOS,Edge,39,28.19,30.7,2.51,190.34,86.11,10.61,9,0.91,8.66,0.0,7.86,2828.18,83.4,0.0,0.0,1.02,24.45,30.17,6.44,7168,461,218,0.02,0.0,2.6,92,-28,1,51,13.28,4.95,58.44,171,0.48,1243.87,32,2.28,0,105.09,14.96,9.09,,173,,,,8324.79,36379.02,31426.42,24884.4,2.28,1391.96
1662,2022-01-04,2022,1,4,Varejo,Mendonça,Melo Grande,1,30.96,30.96,23.43,7.53,5.9,,91.18,3.27,30660.52,33.5,24.98,21.66,0.965,481.2,Pará,PI,Brasil,Pessoa Jurídica,Representante,Livros,,,36-45,Outro,Referência,Desktop,Linux,Edge,50,23.43,30.96,7.53,176.5,85.08,2.13,6,1.33,4.63,5.73,4.12,3593.31,45.63,0.0,0.0,1.03,33.57,63.14,14.13,13212,1866,121,0.03,0.0,5.0,48,-34,1,53,27.97,5.77,68.68,288,0.79,4681.36,31,3.39,0,125.2,26.63,3.16,,190,,,,6642.06,48670.49,42248.2,17424.4,4.57,1782.57
1778,2022-01-04,2022,1,4,Varejo,Santos,Alves de Montenegro,1,36.76,36.76,29.9,6.86,5.8,,43.17,3.79,30489.92,40.61,31.51,92.65,0.962,800.04,Alagoas,ES,Brasil,Pessoa Física,Loja física,Outros,,,26-35,Outro,Referência,Tablet,macOS,Safari,45,29.9,36.76,6.86,167.44,82.0,0.42,6,1.25,5.46,2.4,3.22,2519.61,65.39,0.0,0.0,1.23,42.06,82.8,17.51,22890,4008,292,0.01,0.0,2.2,89,-20,4,61,47.8,1.7,89.63,342,2.44,6232.99,29,6.97,0,100.7,31.55,4.02,,262,,,,4049.22,72388.6,45589.34,14240.53,5.17,2042.7
1871,2022-01-04,2022,1,4,Varejo,Porto Cavalcanti - ME,Casa Grande do Campo,1,43.18,43.18,35.18,8.0,9.0,,5.81,7.29,27615.14,47.2,36.21,13.96,0.93,454.04,Rio Grande do Sul,MG,Brasil,B2B,Representante,Móveis,,,26-35,Masculino,Direto,Mobile,Android,Edge,35,35.18,43.18,8.0,187.24,81.26,1.22,1,1.73,7.83,1.58,3.19,487.26,69.13,0.0,0.0,1.44,43.18,55.1,17.61,31902,5617,410,0.02,0.0,3.9,75,-50,4,63,57.85,3.93,93.04,229,1.93,2737.86,35,6.13,0,129.32,77.48,6.99,,317,,,,6258.12,65707.72,44746.54,15627.29,5.58,1925.83
2753,2022-01-04,2022,1,4,Varejo,Costela,Melo,1,39.75,39.75,33.32,6.43,7.4,,61.13,6.53,31622.07,42.38,35.86,91.76,0.919,820.26,Rio de Janeiro,CE,Brasil,B2C,Aplicativo,Roupas,,,36-45,Masculino,Referência,Tablet,Windows,Edge,21,33.32,39.75,6.43,91.88,69.8,0.52,3,1.92,4.79,1.2,6.5,100.37,78.63,0.0,0.0,1.32,22.63,29.48,13.78,42714,5885,545,0.01,0.0,5.0,18,-85,3,46,89.54,5.0,54.32,90,1.6,901.5,10,2.03,0,426.79,80.79,58.1,,571,,,,17975.15,177958.08,18360.36,12109.04,2.5,1709.73
2876,2022-01-04,2022,1,4,TI,Viana,Cavalcanti,1,24.44,24.44,22.16,2.28,7.5,,60.52,2.02,21715.22,26.53,23.08,97.71,1.009,1182.1,São Paulo,AL,Brasil,Pessoa Física,Telefone,,Consultoria,Gratuito,46-55,Outro,Direto,Desktop,macOS,Chrome,0,22.16,24.44,2.28,26.41,51.94,3.61,0,0.0,4.93,0.0,10.82,34.19,130.45,20.02,240.24,0.81,28.22,6.66,9.51,49655,4722,536,0.0,0.0,3.4,206,24,1,54,76.29,13.85,69.98,0,0.0,0.0,11,0.71,42,394.27,45.83,47.77,FuncA,620,,,,8592.25,169291.96,17769.65,19498.63,3.33,1318.03
1885,2022-01-05,2022,1,5,TI,Siqueira S.A.,Cunha,1,45.3,45.3,39.55,5.75,8.4,,19.69,4.74,27206.88,51.02,42.11,50.84,1.04,335.71,Espírito Santo,SC,Brasil,Pessoa Física,Online,,Consultoria,Premium,55+,Masculino,Anúncio pago,Tablet,iOS,Chrome,0,39.55,45.3,5.75,186.34,80.44,1.11,0,0.0,11.04,0.0,5.6,859.7,88.54,44.22,530.64,1.51,43.72,58.91,17.64,32785,5783,438,0.01,0.0,4.4,9,-71,4,70,53.37,2.99,98.77,0,0.0,0.0,26,5.81,201,157.61,80.2,9.04,FuncA,306,,,,8447.27,62716.4,42121.46,14925.76,3.43,2423.48
2075,2022-01-05,2022,1,5,Varejo,Barros,Borges,1,57.33,57.33,41.46,15.87,6.0,,43.72,9.67,16513.57,61.45,42.61,46.32,0.975,877.39,Acre,AP,Brasil,B2C,Representante,Eletrônicos,,,18-25,Masculino,Email,Desktop,Android,Edge,50,41.46,57.33,15.87,203.93,78.06,4.43,10,1.87,8.21,1.34,4.9,23.29,85.64,0.0,0.0,1.91,31.06,62.02,19.01,31332,5956,406,0.02,0.0,4.7,2,22,1,63,54.9,1.54,79.73,119,0.65,2239.25,10,2.51,0,260.28,90.78,23.02,,454,,,,17375.29,56818.93,43250.03,23953.3,7.8,1998.45
2207,2022-01-05,2022,1,5,TI,Alves,Gomes da Prata,1,51.09,51.09,47.53,3.56,7.0,,52.23,8.97,11054.46,55.61,48.34,6.9,1.084,1127.52,Tocantins,SE,Brasil,B2C,Online,,Suporte,Gratuito,46-55,Feminino,Rede social,Desktop,iOS,Edge,0,47.53,51.09,3.56,151.13,74.74,2.42,0,0.0,12.8,0.0,5.97,34.06,72.62,46.63,559.56,1.7,32.06,81.76,17.18,45170,7760,458,0.02,0.0,4.0,122,82,5,48,50.04,1.46,71.69,0,0.0,0.0,12,5.44,214,322.4,49.82,36.31,FuncA,449,,,,19558.17,66898.76,45966.66,15475.1,5.74,2322.01
2393,2022-01-05,2022,1,5,Varejo,Melo e Filhos,da Paz,1,32.22,32.22,22.24,9.98,6.1,,0.59,5.2,15095.09,35.4,23.05,20.8,1.025,1623.44,Mato Grosso,TO,Brasil,B2B,Telefone,Móveis,,,55+,Outro,Direto,Mobile,iOS,Edge,50,22.24,32.22,9.98,55.37,63.21,11.55,6,1.26,7.7,0.0,2.05,11.24,39.09,0.0,0.0,1.07,33.44,65.05,18.75,38326,7186,376,0.01,0.0,3.2,67,60,5,45,109.63,4.63,55.94,164,0.96,1162.24,3,7.96,0,357.53,14.45,20.36,,493,,,,14818.04,87745.21,32152.44,11847.46,4.66,2217.5
2435,2022-01-05,2022,1,5,TI,Cunha,Melo da Mata,1,30.31,30.31,23.37,6.94,7.0,,20.92,2.5,1722.93,33.05,24.66,60.01,1.017,2861.12,Rio Grande do Sul,BA,Brasil,B2C,Representante,,Treinamento,Teste,26-35,Outro,Direto,Tablet,iOS,Edge,0,23.37,30.31,6.94,100.91,76.9,11.01,0,0.0,5.22,0.0,3.94,12.79,65.08,26.89,322.68,1.01,30.26,43.3,22.26,37633,8377,353,0.01,0.02,5.0,86,79,3,39,100.77,7.27,62.53,0,0.0,0.0,7,6.71,265,339.64,10.96,27.25,FuncA,493,,,,15513.13,85544.77,25222.03,5927.82,3.58,1805.14
2529,2022-01-05,2022,1,5,TI,Siqueira,da Paz,1,36.43,36.43,25.33,11.1,8.8,,-27.45,3.79,21614.3,39.38,27.78,81.96,1.065,2008.33,Rio Grande do Sul,PR,Brasil,B2C,Aplicativo,,Desenvolvimento,Premium,26-35,Outro,Rede social,Desktop,Linux,Safari,0,25.33,36.43,11.1,92.11,71.66,8.37,0,0.0,6.92,0.0,4.59,1.31,62.4,35.78,429.36,1.21,29.6,22.07,22.06,41271,9104,310,0.01,0.0,4.5,200,57,2,51,84.61,10.58,67.9,0,0.0,0.0,9,5.3,278,411.45,21.27,32.27,FuncC,493,,,,9837.54,94718.46,21982.03,2912.58,3.51,278.53
2822,2022-01-05,2022,1,5,TI,Mendonça,da Rosa do Norte,1,30.38,30.38,19.09,11.29,8.0,,94.11,1.59,26160.88,32.59,19.7,89.29,0.969,695.18,Mato Grosso do Sul,SE,Brasil,Pessoa Jurídica,Telefone,,Desenvolvimento,Premium,46-55,Masculino,Direto,Tablet,Linux,Edge,0,19.09,30.38,11.29,65.87,68.44,5.63,0,0.0,8.49,0.0,8.41,48.34,87.2,35.0,420.0,1.01,23.99,5.94,11.25,46814,5266,424,0.0,0.0,2.9,59,-14,3,44,82.45,10.14,59.27,0,0.0,0.0,3,0.16,70,442.0,71.84,55.6,FuncB,602,,,,12161.49,179739.3,19444.46,18946.33,4.01,1247.67
382,2022-01-06,2022,1,6,TI,Dias S.A.,Novaes,1,33.83,33.83,26.06,7.77,6.3,,-9.9,4.18,17041.49,38.24,27.18,87.42,0.945,2150.93,Sergipe,RR,Brasil,Pessoa Jurídica,Representante,,Outros,Premium,46-55,Masculino,Rede social,Desktop,Windows,Firefox,0,26.06,33.83,7.77,9.62,22.14,7.21,0,0.0,8.93,0.0,1.48,0.83,177.62,31.92,383.04,1.13,1.49,8.89,1.72,10935,188,100,0.04,0.0,1.9,133,90,2,21,21.28,13.39,9.71,0,0.0,0.0,2,3.88,220,157.47,19.24,12.77,FuncA,59,,,,1835.44,12293.9,11332.91,19127.64,4.17,59.99
